node.uuid,node.estimated_first,node.estimated_last
c6501f2d-5d9f-16e6-8854-7549f40b25b0,29/03/2021 00:45:18.402034944.0,30/03/2021 00:33:18.26437632.0
222c96fb-1b84-01e0-0bdc-e718d2b788f5,28/03/2021 21:19:08.21267712.0,29/03/2021 00:23:35.0000000.0
fc6a8dbf-420f-1395-e779-7bcb2c993a81,29/03/2021 00:45:18.402034944.0,30/03/2021 00:33:18.26437632.0
34d8ef86-2460-4913-023b-17b3230c9645,29/03/2021 01:09:22.539729152.0,29/03/2021 01:09:21.0000000.0
0f83f397-b315-03f9-4479-9d69bc250616,29/03/2021 01:09:26.215371776.0,29/03/2021 01:10:02.0000000.0
3e6f0455-e49b-ba24-8250-26fd38452b05,29/03/2021 01:18:11.288740352.0,29/03/2021 01:18:11.0000000.0
2a8377f6-8215-2942-1c59-b8a9ea6f446b,29/03/2021 01:49:06.704291072.0,30/03/2021 00:33:18.26437632.0
8b4a2f6f-7d69-aa9d-b342-a5579e2bc913,29/03/2021 01:09:19.350348288.0,29/03/2021 01:09:19.0000000.0
02960a25-ea69-d67c-b39c-f4aa44872416,29/03/2021 00:34:32.915859200.0,29/03/2021 00:34:31.0000000.0
e12c96ab-9315-3786-ea8f-7aefb4dc6244,29/03/2021 01:14:07.521348608.0,30/03/2021 00:33:18.26437632.0
1aaff6dd-23b8-93e5-4d71-2bc23185416a,29/03/2021 01:14:07.521348608.0,30/03/2021 00:33:18.26437632.0
f67f9050-ddc8-02df-6a7f-37a71aabd5d0,29/03/2021 01:09:20.22714624.0,29/03/2021 01:09:20.0000000.0
df9d8d29-9e01-edaf-d417-30ff87e46da9,29/03/2021 01:14:07.521348608.0,30/03/2021 00:33:18.26437632.0
ae7aa73b-e1ab-844a-37d0-8513e86de65e,29/03/2021 00:47:25.172773632.0,29/03/2021 00:47:25.0000000.0
5f2c90a8-ad8d-b320-669e-5adfb6a87e2e,29/03/2021 00:45:18.402034944.0,30/03/2021 00:33:18.26437632.0
154ec9e1-cf31-0b36-3a4e-2fffde277e8f,29/03/2021 00:47:25.391741696.0,29/03/2021 00:47:25.0000000.0
26ea96cb-318a-4209-902b-70def1780b8c,29/03/2021 01:09:23.415847424.0,29/03/2021 01:09:59.0000000.0
d8d75dee-652f-17dc-5f24-517570c3eac9,29/03/2021 01:09:22.781857280.0,29/03/2021 01:09:21.0000000.0
7e23ca43-908f-c078-17bc-70d366d41d1c,29/03/2021 00:51:37.659048192.0,29/03/2021 01:18:09.0000000.0
178b069f-f7f0-d6bf-d40b-477eabfcd062,29/03/2021 01:14:07.521348608.0,30/03/2021 00:33:18.26437632.0
7d9eff41-6d11-f7f3-b9cb-d78f1e0e48da,29/03/2021 01:25:22.792340224.0,30/03/2021 00:33:18.26437632.0
5edfc450-40ad-3378-8c8f-9d396d6dd445,29/03/2021 00:47:26.815924736.0,29/03/2021 01:18:11.0000000.0
b8f5a20c-6c97-a4ea-1fea-a132cd6671be,29/03/2021 01:49:06.701292800.0,30/03/2021 00:33:18.26437632.0
31c50d62-8b9b-02e3-0990-fc0427e9eaea,29/03/2021 00:45:18.402034944.0,30/03/2021 00:33:18.26437632.0
e4ffd9ca-f884-feba-7229-bd343783d911,29/03/2021 01:14:07.521348608.0,30/03/2021 00:33:18.26437632.0
fff9a1d2-0c3a-d4e2-be29-eca31f53c539,29/03/2021 01:14:07.521348608.0,30/03/2021 00:33:18.26437632.0
3ec3db70-5a99-f414-34df-5bade17e8703,29/03/2021 00:45:18.402034944.0,30/03/2021 00:33:18.26437632.0
68b6a4f7-e989-c305-f7f4-42599e064221,01/01/2000 04:00:00.481861248.0,01/01/2000 04:00:00.0000000.0
